id,name,abbreviation,country,type,sort,status,occupied,notes,fips_state,assoc_press,standard_federal_region
1,Alabama,AL,USA,state,10,current,occupied,,1,Ala.,IV
2,Alaska,AK,USA,state,10,current,occupied,,2,Alaska,X
3,Arizona,AZ,USA,state,10,current,occupied,,4,Ariz.,IX
4,Arkansas,AR,USA,state,10,current,occupied,,5,Ark.,VI
5,California,CA,USA,state,10,current,occupied,,6,Calif.,IX
6,Colorado,CO,USA,state,10,current,occupied,,8,Colo.,VIII
7,Connecticut,CT,USA,state,10,current,occupied,,9,Conn.,I
8,Delaware,DE,USA,state,10,current,occupied,,10,Del.,III
9,Florida,FL,USA,state,10,current,occupied,,12,Fla.,IV
10,Georgia,GA,USA,state,10,current,occupied,,13,Ga.,IV
11,Hawaii,HI,USA,state,10,current,occupied,,15,Hawaii,IX
12,Idaho,ID,USA,state,10,current,occupied,,16,Idaho,X
13,Illinois,IL,USA,state,10,current,occupied,,17,Ill.,V
14,Indiana,IN,USA,state,10,current,occupied,,18,Ind.,V
15,Iowa,IA,USA,state,10,current,occupied,,19,Iowa,VII
16,Kansas,KS,USA,state,10,current,occupied,,20,Kan.,VII
17,Kentucky,KY,USA,state,10,current,occupied,,21,Ky.,IV
18,Louisiana,LA,USA,state,10,current,occupied,,22,La.,VI
19,Maine,ME,USA,state,10,current,occupied,,23,Maine,I
20,Maryland,MD,USA,state,10,current,occupied,,24,Md.,III
21,Massachusetts,MA,USA,state,10,current,occupied,,25,Mass.,I
22,Michigan,MI,USA,state,10,current,occupied,,26,Mich.,V
23,Minnesota,MN,USA,state,10,current,occupied,,27,Minn.,V
24,Mississippi,MS,USA,state,10,current,occupied,,28,Miss.,IV
25,Missouri,MO,USA,state,10,current,occupied,,29,Mo.,VII
26,Montana,MT,USA,state,10,current,occupied,,30,Mont.,VIII
27,Nebraska,NE,USA,state,10,current,occupied,,31,Nebr.,VII
28,Nevada,NV,USA,state,10,current,occupied,,32,Nev.,IX
29,New Hampshire,NH,USA,state,10,current,occupied,,33,N.H.,I
30,New Jersey,NJ,USA,state,10,current,occupied,,34,N.J.,II
31,New Mexico,NM,USA,state,10,current,occupied,,35,N.M.,VI
32,New York,NY,USA,state,10,current,occupied,,36,N.Y.,II
33,North Carolina,NC,USA,state,10,current,occupied,,37,N.C.,IV
34,North Dakota,ND,USA,state,10,current,occupied,,38,N.D.,VIII
35,Ohio,OH,USA,state,10,current,occupied,,39,Ohio,V
36,Oklahoma,OK,USA,state,10,current,occupied,,40,Okla.,VI
37,Oregon,OR,USA,state,10,current,occupied,,41,Ore.,X
38,Pennsylvania,PA,USA,state,10,current,occupied,,42,Pa.,III
39,Rhode Island,RI,USA,state,10,current,occupied,,44,R.I.,I
40,South Carolina,SC,USA,state,10,current,occupied,,45,S.C.,IV
41,South Dakota,SD,USA,state,10,current,occupied,,46,S.D.,VIII
42,Tennessee,TN,USA,state,10,current,occupied,,47,Tenn.,IV
43,Texas,TX,USA,state,10,current,occupied,,48,Texas,VI
44,Utah,UT,USA,state,10,current,occupied,,49,Utah,VIII
45,Vermont,VT,USA,state,10,current,occupied,,50,Vt.,I
46,Virginia,VA,USA,state,10,current,occupied,,51,Va.,III
47,Washington,WA,USA,state,10,current,occupied,,53,Wash.,X
48,West Virginia,WV,USA,state,10,current,occupied,,54,W.Va.,III
49,Wisconsin,WI,USA,state,10,current,occupied,,55,Wis.,V
50,Wyoming,WY,USA,state,10,current,occupied,,56,Wyo.,VIII
51,Washington DC,DC,USA,capitol,10,current,occupied,,11,,III
52,Puerto Rico,PR,USA,commonwealth ,20,current,occupied,,72,,II
53,U.S. Virgin Islands,VI,USA,territory,20,current,occupied,,78,,II
54,American Samoa,AS,USA,territory,20,current,occupied,,60,,IX
55,Guam,GU,USA,territory,20,current,occupied,,66,,IX
56,Northern Mariana Islands,MP,USA,commonwealth ,20,current,occupied,,69,,IX
57,Federated States of Micronesia,FM,USA,territory,20,historic,occupied,"Independent in 1986, administered by US",64,,IX
58,Marshall Islands,MH,USA,territory,20,historic,occupied,"Independent in 1986, in ""free association"" with the US",68,,IX
